Model_Year,BMW,CHRYSLER,FISKER,KIA,MERCEDES-BENZ,MINI,PORSCHE,SUBARU,TESLA,VOLVO,WHEEGO ELECTRIC CARS
2014,439,1,1,1,26,1,11,1,662,1,1
2015,395,1,1,21,23,1,35,1,1189,1,1
2016,381,1,1,392,36,1,76,1,1622,115,1
2017,671,88,1,211,42,1,67,1,1642,111,1
2018,727,554,1,318,47,56,76,1,7892,229,1
2019,322,117,1,674,143,111,72,65,4654,197,1
2020,162,287,1,532,31,3,162,1,7175,211,1
2021,659,511,1,76,1,136,179,1,11945,657,1
2022,918,386,1,2178,149,232,216,1,13812,1117,1
2023,1689,868,1,2448,689,222,161,625,22117,1121,1
2024,491,48,1,24,3,71,11,1,1,121,1
